TEI,TEO,TCI,TCO,Heat,FWC,FWE
53.11,50.31,75.87,78.73,23.62,267.1,215.7
43.65,39.99,66.13,69.85,31.78,270.4,215.9
43.61,40.03,80.74,84.55,39.095,272.4,215.3
43.93,40.36,80.09,83.89,38.626,271,214.7
49.3,40.4,68.7,76.48,25.59,269,215.4
45.49,40.81,72.72,77.22,31.564,271.2,214.8
50.44,44.49,74.81,80.58,40.292,269.4,215.1
54.29,45.43,83.36,91.59,42.56,266.5,214.7
59.17,50.39,87.74,96.01,45.21,266.1,215.6
50.12,40.11,66.04,75.3,50.07,268.9,214.5
50.69,44.7,74.97,80.74,38.19,268,214.6
60.48,50.51,85.53,94.99,53.68,264.8,214.5
59.62,50.06,71.69,80.62,46.23,267.4,216.8
46.35,40.07,80.17,86.35,45.54,268.1,214.4
54.13,50.8,85.25,88.56,25.76,269.1,215
53.68,50.18,62.56,65.88,19.68,269.6,217.2
48.4,45.43,75.83,78.82,23.8,268.3,215.6
43.52,40.52,68.25,71.36,28.458,270.9,215.8
62.07,52.64,85.25,93.68,30.92,266.4,215.8
51.84,41.75,69.65,79.27,58.43,267.7,215.7
59.37,49.86,71.53,80.37,45.71,267.6,215.9
61.58,52.19,85.66,94.5,50.22,267.5,215.4
43.57,39.99,80.78,84.55,36.998,272.4,216.1
54.05,50.8,85.29,88.56,26.47,269.5,215.9
53.56,50.31,84.88,88.19,28.25,268.4,214.4
56.38,50.31,74.85,80.62,33.08,266,215.5
52.7,49.98,75.87,78.78,27.543,267.3,216.6
60.27,50.31,85.33,94.74,51.07,264.8,215.3
49.17,45.76,85.04,88.56,31.15,269.1,215.2
55.97,45.31,70.38,80.41,54.01,266.3,215.9
55.97,49.9,65.27,70.87,28.47,268.1,215.5
47.99,45.11,75.58,78.65,30.164,269.9,216
60.56,50.31,85.7,95.4,54.22,266,215.6
44.14,40.32,72.27,76.28,39.448,270.5,213.4
60.23,50.22,85.33,94.83,53.76,266.9,216.7
58.96,49.77,70.42,78.94,42.7,266,214.8
61.25,51.21,85.62,95.03,50.66,266.8,215.6
48.03,45.07,75.58,78.65,27.32,269.2,215.9
43.69,39.87,81.11,85.45,52.461,270.5,213.4
53.64,50.31,62.48,65.59,17.92,269.9,215.2
56.01,50.18,72.84,78.37,33.36,267.9,214.9
43.65,39.91,65.47,69.32,33.693,268.7,214.8
51.3,44.37,64.98,71.28,30.9,269.8,214.8
50.89,40.6,67.6,77.18,52.9,269.2,215.5
48.11,45.43,74.6,77.47,28.784,270.1,215.7
59.04,51.33,80.91,88.44,52.719,267.4,214.5
52,45.8,86.15,92.21,42.86,268.8,215.5
60.11,50.59,85.37,94.38,49.22,266,216.5
46.6,40.56,80.33,86.27,42.19,267.8,215.6
63.67,58.05,69.77,74.39,6.34,271.2,215.3
56.3,49.94,66.25,72.14,30.76,268.1,215.4
53.43,50.14,85.49,88.89,31.01,270.8,215.2
56.18,45.35,76.61,86.68,51.72,265.9,214.7
46.39,40.19,80.13,86.23,45.31,268.2,214
47.13,40.28,64.94,71.49,42.726,269.3,214.8
45.78,39.46,69.44,75.54,42.057,270.2,215.3
60.52,50.31,85.62,95.32,55.65,266.5,216.1
60.64,50.43,85.62,95.28,55.31,267.2,215.8
48.48,45.35,64.98,68.13,25.459,269.7,216.3
59,49.9,70.51,79.06,46.97,267.7,216.4
50.2,44.21,75.75,81.64,43.528,268.2,214.2
56.38,50.1,75.5,81.52,37.18,266.8,215.3
