,TEI,TEO,TCI,TCO,Heat,FWC,FWE
0,53.11,50.31,75.87,78.73,23.62,267.1,215.7
1,43.65,39.99,66.13,69.85,31.78,270.4,215.9
2,43.61,40.03,80.74,84.55,39.095,272.4,215.3
3,43.93,40.36,80.09,83.89,38.626,271.0,214.7
4,49.3,40.4,68.7,76.48,25.59,269.0,215.4
5,45.49,40.81,72.72,77.22,31.564,271.2,214.8
6,50.44,44.49,74.81,80.58,40.292,269.4,215.1
7,54.29,45.43,83.36,91.59,42.56,266.5,214.7
8,59.17,50.39,87.74,96.01,45.21,266.1,215.6
9,50.12,40.11,66.04,75.3,50.07,268.9,214.5
10,50.69,44.7,74.97,80.74,38.19,268.0,214.6
11,60.48,50.51,85.53,94.99,53.68,264.8,214.5
12,59.62,50.06,71.69,80.62,46.23,267.4,216.8
13,46.35,40.07,80.17,86.35,45.54,268.1,214.4
14,54.13,50.8,85.25,88.56,25.76,269.1,215.0
15,53.68,50.18,62.56,65.88,19.68,269.6,217.2
16,48.4,45.43,75.83,78.82,23.8,268.3,215.6
17,43.52,40.52,68.25,71.36,28.458,270.9,215.8
18,62.07,52.64,85.25,93.68,30.92,266.4,215.8
19,51.84,41.75,69.65,79.27,58.43,267.7,215.7
20,59.37,49.86,71.53,80.37,45.71,267.6,215.9
21,61.58,52.19,85.66,94.5,50.22,267.5,215.4
22,43.57,39.99,80.78,84.55,36.998,272.4,216.1
23,54.05,50.8,85.29,88.56,26.47,269.5,215.9
24,53.56,50.31,84.88,88.19,28.25,268.4,214.4
25,56.38,50.31,74.85,80.62,33.08,266.0,215.5
26,52.7,49.98,75.87,78.78,27.543,267.3,216.6
27,60.27,50.31,85.33,94.74,51.07,264.8,215.3
28,49.17,45.76,85.04,88.56,31.15,269.1,215.2
29,55.97,45.31,70.38,80.41,54.01,266.3,215.9
30,55.97,49.9,65.27,70.87,28.47,268.1,215.5
31,47.99,45.11,75.58,78.65,30.164,269.9,216.0
32,60.56,50.31,85.7,95.4,54.22,266.0,215.6
33,44.14,40.32,72.27,76.28,39.448,270.5,213.4
34,60.23,50.22,85.33,94.83,53.76,266.9,216.7
35,58.96,49.77,70.42,78.94,42.7,266.0,214.8
36,61.25,51.21,85.62,95.03,50.66,266.8,215.6
37,48.03,45.07,75.58,78.65,27.32,269.2,215.9
38,43.69,39.87,81.11,85.45,52.461,270.5,213.4
39,53.64,50.31,62.48,65.59,17.92,269.9,215.2
40,56.01,50.18,72.84,78.37,33.36,267.9,214.9
41,43.65,39.91,65.47,69.32,33.693,268.7,214.8
42,51.3,44.37,64.98,71.28,30.9,269.8,214.8
43,50.89,40.6,67.6,77.18,52.9,269.2,215.5
44,48.11,45.43,74.6,77.47,28.784,270.1,215.7
45,59.04,51.33,80.91,88.44,52.719,267.4,214.5
46,52.0,45.8,86.15,92.21,42.86,268.8,215.5
47,60.11,50.59,85.37,94.38,49.22,266.0,216.5
48,46.6,40.56,80.33,86.27,42.19,267.8,215.6
49,63.67,58.05,69.77,74.39,6.34,271.2,215.3
50,56.3,49.94,66.25,72.14,30.76,268.1,215.4
51,53.43,50.14,85.49,88.89,31.01,270.8,215.2
52,56.18,45.35,76.61,86.68,51.72,265.9,214.7
53,46.39,40.19,80.13,86.23,45.31,268.2,214.0
54,47.13,40.28,64.94,71.49,42.726,269.3,214.8
55,45.78,39.46,69.44,75.54,42.057,270.2,215.3
56,60.52,50.31,85.62,95.32,55.65,266.5,216.1
57,60.64,50.43,85.62,95.28,55.31,267.2,215.8
58,48.48,45.35,64.98,68.13,25.459,269.7,216.3
59,59.0,49.9,70.51,79.06,46.97,267.7,216.4
60,50.2,44.21,75.75,81.64,43.528,268.2,214.2
61,56.38,50.1,75.5,81.52,37.18,266.8,215.3
62,56.38,50.35,74.89,80.62,33.75,267.8,216.2
63,54.33,50.22,65.43,69.36,24.4,268.5,216.1
64,51.02,44.41,66.13,72.02,28.18,275.4,216.5
65,56.91,50.47,75.54,81.68,34.28,265.4,216.6
66,50.85,41.67,80.74,89.46,51.8,267.3,215.3
67,56.95,50.63,75.87,81.89,36.35,266.7,214.6
68,50.28,44.7,66.21,71.49,31.73,269.0,215.6
69,56.14,45.35,75.13,85.37,61.57,268.4,215.8
70,48.15,44.86,64.98,68.25,26.199,271.0,215.2
71,50.81,40.64,67.39,76.85,52.41,268.8,214.8
72,45.9,40.11,61.13,66.49,29.79,269.6,214.6
73,59.37,49.86,71.53,80.45,47.01,267.3,217.0
74,43.4,40.44,68.58,71.65,27.82,269.8,215.4
75,48.36,44.94,65.96,69.32,25.477,270.4,214.9
76,51.59,44.78,66.21,72.39,32.68,274.1,216.0
77,50.03,44.12,75.91,81.89,48.145,267.9,215.3
78,52.0,46.13,74.68,80.25,33.46,269.1,216.3
79,43.93,40.36,80.09,83.89,38.12,270.1,214.7
80,46.88,39.87,64.04,70.79,44.278,267.5,214.4
81,54.95,49.57,67.27,72.14,22.06,270.2,216.7
82,50.36,45.15,74.15,79.02,28.1,270.0,215.4
83,43.97,40.4,80.09,83.85,36.513,269.9,214.4
84,55.36,46.25,85.37,94.05,52.18,267.5,215.8
85,49.09,45.76,84.63,88.07,31.23,269.1,213.7
86,56.18,49.69,66.33,72.43,35.931,270.8,216.9
87,50.94,43.06,68.75,75.79,29.11,268.6,214.9
88,45.9,40.19,61.09,66.49,33.093,268.1,214.2
89,43.61,40.11,80.78,84.63,43.106,271.3,214.5
90,60.68,50.27,75.91,85.65,50.21,268.2,218.0
91,50.77,44.62,76.2,82.09,39.72,270.5,215.0
92,59.29,50.1,70.79,79.35,43.94,267.2,216.2
93,48.4,41.01,67.19,74.31,46.018,267.7,215.6
94,48.68,45.48,64.86,68.05,24.415,269.1,215.8
95,62.03,52.15,85.7,94.99,46.78,266.0,217.8
96,52.9,44.7,72.55,80.37,54.355,274.5,216.4
97,61.09,49.9,75.79,86.43,56.21,264.1,216.9
98,54.78,46.74,69.56,77.3,50.323,268.2,215.4
